job_id,job_name,publication_date,categories,levels,job_level,company_id,location_name,company_name,landing_page
21420020,Junior Inside Sales Representative,2026-03-12T19:22:19Z,,Entry Level,Entry Level,15000289,Flexible / Remote,Forcepoint,https://www.themuse.com/jobs/forcepoint/junior-inside-sales-representative-ca9338
10657764,Content Creation Specialist,2025-01-31T10:29:11.936190Z,,Entry Level | Mid Level,Entry Level,994,Flexible / Remote,PetMeds®,https://www.themuse.com/jobs/petmeds/content-creation-specialist
21633991,Customer Support Agent (Open to New Grads),2026-04-28T19:06:58Z,Unknown,Entry Level,Entry Level,15000222,"Flexible / Remote | Manila, Philippines","Equinix, Inc",https://www.themuse.com/jobs/equinixinc/customer-support-agent-open-to-new-grads-e19f9a
21033616,Entry Level Technical Field Advisor (TFA) Steam Turbine,2026-03-04T18:34:07Z,,Entry Level,Entry Level,15000121,"Boston, MA | Flexible / Remote",GE Vernova,https://www.themuse.com/jobs/gevernova/entry-level-technical-field-advisor-tfa-steam-turbine-a8b855
20429721,Accounting Coordinator,2025-10-10T19:58:59Z,,Entry Level,Entry Level,1211,"Flexible / Remote | Pompano Beach, FL",Enterprise Mobility,https://www.themuse.com/jobs/enterprisemobility/accounting-coordinator-da2325
19090457,Online Data Analyst - German Speakers (DE),2025-05-27T13:03:35Z,,Entry Level,Entry Level,12251,Flexible / Remote,TELUS Digital,https://www.themuse.com/jobs/telusdigital/online-data-analyst-german-speakers-de
21589194,Entry Level Technical Field Advisor,2026-04-17T18:31:37Z,Unknown,Entry Level,Entry Level,15000121,"Boston, MA | Flexible / Remote",GE Vernova,https://www.themuse.com/jobs/gevernova/entry-level-technical-field-advisor-5ee41b
14824763,Help Desk Customer Service Advisor,2024-05-16T23:40:16Z,Customer Service,Entry Level,Entry Level,15000181,Flexible / Remote,Anthology,https://www.themuse.com/jobs/anthology/help-desk-customer-service-advisor
14852753,Bilingual Inbound/Outbound Enrollment Advisor,2024-05-16T23:40:16Z,Education,Entry Level,Entry Level,15000181,"Flexible / Remote | Greenville, SC",Anthology,https://www.themuse.com/jobs/anthology/bilingual-inboundoutbound-enrollment-advisor
20897437,Business Development Representative – Remote Internship,2025-12-11T15:34:34Z,,Entry Level,Entry Level,1327,Flexible / Remote,The Muse,https://www.themuse.com/jobs/themuse/business-development-representative-remote-internship
